frame_number,frame_path,game_time,period,play_clock,imputed_game_time,imputed_period,imputed_play_clock,original_game_time,original_period,original_play_clock,imputation_confidence,imputation_method,imputation_timestamp,expected_game_time,expected_period,expected_play_clock
686,data/frames/game_6/frame_000686.jpg,12:07,2ND,25,FALSE,FALSE,FALSE,12:07,2ND,25,0,,45:30.8,12:07,2ND,25
687,data/frames/game_6/frame_000687.jpg,12:07,2ND,25,FALSE,FALSE,FALSE,12:07,2ND,25,0,,45:30.8,12:07,2ND,25
688,data/frames/game_6/frame_000688.jpg,12:07,2ND,25,FALSE,FALSE,FALSE,12:07,2ND,25,0,,45:30.8,12:07,2ND,25
689,data/frames/game_6/frame_000689.jpg,12:07,2ND,25,FALSE,FALSE,FALSE,12:07,2ND,25,0,,45:30.8,12:07,2ND,25
690,data/frames/game_6/frame_000690.jpg,12:07,2ND,25,FALSE,FALSE,FALSE,12:07,2ND,25,0,,45:30.8,12:07,2ND,25
691,data/frames/game_6/frame_000691.jpg,12:07,2ND,25,FALSE,FALSE,FALSE,12:07,2ND,25,0,,45:30.8,12:07,2ND,25
692,data/frames/game_6/frame_000692.jpg,12:07,2ND,25,FALSE,FALSE,FALSE,12:07,2ND,25,0,,45:30.8,12:07,2ND,25
693,data/frames/game_6/frame_000693.jpg,12:07,2ND,25,FALSE,FALSE,FALSE,12:07,2ND,25,0,,45:30.8,12:07,2ND,25
694,data/frames/game_6/frame_000694.jpg,12:07,2ND,25,FALSE,FALSE,FALSE,12:07,2ND,25,0,,45:30.8,12:07,2ND,25
695,data/frames/game_6/frame_000695.jpg,12:07,2ND,25,FALSE,FALSE,FALSE,12:07,2ND,25,0,,45:30.8,12:07,2ND,25
696,data/frames/game_6/frame_000696.jpg,12:07,2ND,25,FALSE,FALSE,FALSE,12:07,2ND,25,0,,45:30.8,12:07,2ND,25
697,data/frames/game_6/frame_000697.jpg,12:07,2ND,25,FALSE,FALSE,FALSE,12:07,2ND,25,0,,45:30.8,12:07,2ND,25
698,data/frames/game_6/frame_000698.jpg,12:07,2ND,25,FALSE,FALSE,FALSE,12:07,2ND,25,0,,45:30.8,12:07,2ND,25
699,data/frames/game_6/frame_000699.jpg,12:07,2ND,25,FALSE,FALSE,FALSE,12:07,2ND,25,0,,45:30.8,12:07,2ND,25
700,data/frames/game_6/frame_000700.jpg,12:07,2ND,25,FALSE,FALSE,FALSE,12:07,2ND,25,0,,45:30.8,12:07,2ND,25
701,data/frames/game_6/frame_000701.jpg,12:07,2ND,25,FALSE,FALSE,FALSE,12:07,2ND,25,0,,45:30.8,12:07,2ND,25
702,data/frames/game_6/frame_000702.jpg,12:07,2ND,25,FALSE,FALSE,FALSE,12:07,2ND,25,0,,45:30.8,12:07,2ND,25
703,data/frames/game_6/frame_000703.jpg,12:07,2ND,25,FALSE,FALSE,FALSE,12:07,2ND,25,0,,45:30.8,12:07,2ND,25
704,data/frames/game_6/frame_000704.jpg,12:07,2ND,25,FALSE,FALSE,FALSE,12:07,2ND,25,0,,45:30.8,12:07,2ND,25
705,data/frames/game_6/frame_000705.jpg,12:07,2ND,25,FALSE,FALSE,FALSE,12:07,2ND,25,0,,45:30.8,12:07,2ND,25
706,data/frames/game_6/frame_000706.jpg,12:07,2ND,25,FALSE,FALSE,FALSE,12:07,2ND,25,0,,45:30.8,12:07,2ND,25
707,data/frames/game_6/frame_000707.jpg,12:07,2ND,25,FALSE,FALSE,FALSE,12:07,2ND,25,0,,45:30.8,12:07,2ND,25
708,data/frames/game_6/frame_000708.jpg,12:07,2ND,25,FALSE,FALSE,FALSE,12:07,2ND,25,0,,45:30.8,12:07,2ND,25
709,data/frames/game_6/frame_000709.jpg,12:07,2ND,25,FALSE,FALSE,FALSE,12:07,2ND,25,0,,45:30.8,12:07,2ND,25
710,data/frames/game_6/frame_000710.jpg,12:07,2ND,25,FALSE,FALSE,FALSE,12:07,2ND,25,0,,45:30.8,12:07,2ND,25
711,data/frames/game_6/frame_000711.jpg,12:07,2ND,25,FALSE,FALSE,FALSE,12:07,2ND,25,0,,45:30.8,12:07,2ND,25
712,data/frames/game_6/frame_000712.jpg,12:07,2ND,25,FALSE,FALSE,FALSE,12:07,2ND,25,0,,45:30.8,12:07,2ND,25
713,data/frames/game_6/frame_000713.jpg,12:07,2ND,25,FALSE,FALSE,FALSE,12:07,2ND,25,0,,45:30.8,12:07,2ND,25
714,data/frames/game_6/frame_000714.jpg,12:07,2ND,25,FALSE,FALSE,FALSE,12:07,2ND,25,0,,45:30.8,12:07,2ND,25
715,data/frames/game_6/frame_000715.jpg,12:07,2ND,25,FALSE,FALSE,FALSE,12:07,2ND,25,0,,45:30.8,12:07,2ND,25
716,data/frames/game_6/frame_000716.jpg,12:07,2ND,25,FALSE,FALSE,FALSE,12:07,2ND,25,0,,45:30.8,12:07,2ND,25
717,data/frames/game_6/frame_000717.jpg,12:07,2ND,25,FALSE,FALSE,FALSE,12:07,2ND,25,0,,45:30.8,12:07,2ND,25
718,data/frames/game_6/frame_000718.jpg,12:07,2ND,25,FALSE,FALSE,FALSE,12:07,2ND,25,0,,45:30.8,12:07,2ND,25
719,data/frames/game_6/frame_000719.jpg,12:07,2ND,25,FALSE,FALSE,FALSE,12:07,2ND,25,0,,45:30.8,12:07,2ND,25
720,data/frames/game_6/frame_000720.jpg,12:07,2ND,25,FALSE,FALSE,FALSE,12:07,2ND,25,0,,45:30.8,12:07,2ND,25
721,data/frames/game_6/frame_000721.jpg,12:07,2ND,25,FALSE,FALSE,FALSE,12:07,2ND,25,0,,45:30.8,12:07,2ND,25
722,data/frames/game_6/frame_000722.jpg,12:07,2ND,25,FALSE,FALSE,FALSE,12:07,2ND,25,0,,45:30.8,12:07,2ND,25
723,data/frames/game_6/frame_000723.jpg,12:07,2ND,25,FALSE,FALSE,FALSE,12:07,2ND,25,0,,45:30.8,12:07,2ND,25
724,data/frames/game_6/frame_000724.jpg,12:07,2ND,25,FALSE,FALSE,FALSE,12:07,2ND,25,0,,45:30.8,12:07,2ND,25
725,data/frames/game_6/frame_000725.jpg,12:07,2ND,25,FALSE,FALSE,FALSE,12:07,2ND,25,0,,45:30.8,12:07,2ND,25
726,data/frames/game_6/frame_000726.jpg,12:07,2ND,25,FALSE,FALSE,FALSE,12:07,2ND,25,0,,45:30.8,12:07,2ND,25
727,data/frames/game_6/frame_000727.jpg,12:07,2ND,25,FALSE,FALSE,FALSE,12:07,2ND,25,0,,45:30.8,12:07,2ND,25
728,data/frames/game_6/frame_000728.jpg,12:07,2ND,25,FALSE,FALSE,FALSE,12:07,2ND,25,0,,45:30.8,12:07,2ND,25
729,data/frames/game_6/frame_000729.jpg,12:07,2ND,25,FALSE,FALSE,FALSE,12:07,2ND,25,0,,45:30.8,12:07,2ND,25
730,data/frames/game_6/frame_000730.jpg,12:07,2ND,25,FALSE,FALSE,FALSE,12:07,2ND,25,0,,45:30.8,12:07,2ND,25
731,data/frames/game_6/frame_000731.jpg,12:07,2ND,25,FALSE,FALSE,FALSE,12:07,2ND,25,0,,45:30.8,12:07,2ND,25
732,data/frames/game_6/frame_000732.jpg,12:07,2ND,25,FALSE,FALSE,FALSE,12:07,2ND,25,0,,45:30.8,12:07,2ND,25
733,data/frames/game_6/frame_000733.jpg,12:07,2ND,25,FALSE,FALSE,FALSE,12:07,2ND,25,0,,45:30.8,12:07,2ND,25
734,data/frames/game_6/frame_000734.jpg,12:07,2ND,25,FALSE,FALSE,FALSE,12:07,2ND,25,0,,45:30.8,12:07,2ND,25
735,data/frames/game_6/frame_000735.jpg,,,,FALSE,FALSE,FALSE,,,,0,,45:30.8,,,
736,data/frames/game_6/frame_000736.jpg,,,,FALSE,FALSE,FALSE,,,,0,,45:30.8,,,
737,data/frames/game_6/frame_000737.jpg,,,,FALSE,FALSE,FALSE,,,,0,,45:30.8,,,
738,data/frames/game_6/frame_000738.jpg,,,,FALSE,FALSE,FALSE,,,,0,,45:30.8,,,
739,data/frames/game_6/frame_000739.jpg,,,,FALSE,FALSE,FALSE,,,,0,,45:30.8,,,
740,data/frames/game_6/frame_000740.jpg,,,,FALSE,FALSE,FALSE,,,,0,,45:30.8,,,
741,data/frames/game_6/frame_000741.jpg,,,,FALSE,FALSE,FALSE,,,,0,,45:30.8,,,
742,data/frames/game_6/frame_000742.jpg,,,,FALSE,FALSE,FALSE,,,,0,,45:30.8,,,
743,data/frames/game_6/frame_000743.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
744,data/frames/game_6/frame_000744.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
745,data/frames/game_6/frame_000745.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
746,data/frames/game_6/frame_000746.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
747,data/frames/game_6/frame_000747.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
748,data/frames/game_6/frame_000748.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
749,data/frames/game_6/frame_000749.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
750,data/frames/game_6/frame_000750.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
751,data/frames/game_6/frame_000751.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
752,data/frames/game_6/frame_000752.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
753,data/frames/game_6/frame_000753.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
754,data/frames/game_6/frame_000754.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
755,data/frames/game_6/frame_000755.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
756,data/frames/game_6/frame_000756.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
757,data/frames/game_6/frame_000757.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
758,data/frames/game_6/frame_000758.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
759,data/frames/game_6/frame_000759.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
760,data/frames/game_6/frame_000760.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
761,data/frames/game_6/frame_000761.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
762,data/frames/game_6/frame_000762.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
763,data/frames/game_6/frame_000763.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
764,data/frames/game_6/frame_000764.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
765,data/frames/game_6/frame_000765.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
766,data/frames/game_6/frame_000766.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
767,data/frames/game_6/frame_000767.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
768,data/frames/game_6/frame_000768.jpg,,2ND,18,FALSE,FALSE,FALSE,,2ND,18,0,,45:30.8,,2ND,18
769,data/frames/game_6/frame_000769.jpg,,2ND,18,FALSE,FALSE,FALSE,,2ND,18,0,,45:30.8,,2ND,18
770,data/frames/game_6/frame_000770.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
771,data/frames/game_6/frame_000771.jpg,,2ND,17,FALSE,FALSE,FALSE,,2ND,17,0,,45:30.8,,2ND,17
772,data/frames/game_6/frame_000772.jpg,,2ND,16,FALSE,FALSE,FALSE,,2ND,16,0,,45:30.8,,2ND,16
773,data/frames/game_6/frame_000773.jpg,,2ND,16,FALSE,FALSE,FALSE,,2ND,16,0,,45:30.8,,2ND,16
774,data/frames/game_6/frame_000774.jpg,,2ND,15,FALSE,FALSE,FALSE,,2ND,15,0,,45:30.8,,2ND,15
775,data/frames/game_6/frame_000775.jpg,,2ND,15,FALSE,FALSE,FALSE,,2ND,15,0,,45:30.8,,2ND,15
776,data/frames/game_6/frame_000776.jpg,,2ND,14,FALSE,FALSE,FALSE,,2ND,14,0,,45:30.8,,2ND,14
777,data/frames/game_6/frame_000777.jpg,12:07,2ND,14,FALSE,FALSE,FALSE,12:07,2ND,14,0,,45:30.8,12:07,2ND,14
778,data/frames/game_6/frame_000778.jpg,12:07,2ND,13,FALSE,FALSE,FALSE,12:07,2ND,13,0,,45:30.8,12:07,2ND,13
779,data/frames/game_6/frame_000779.jpg,12:07,2ND,13,FALSE,FALSE,FALSE,12:07,2ND,13,0,,45:30.8,12:07,2ND,13
780,data/frames/game_6/frame_000780.jpg,12:07,2ND,12,FALSE,FALSE,FALSE,12:07,2ND,12,0,,45:30.8,12:07,2ND,12
781,data/frames/game_6/frame_000781.jpg,12:07,2ND,12,FALSE,FALSE,FALSE,12:07,2ND,12,0,,45:30.8,12:07,2ND,12
782,data/frames/game_6/frame_000782.jpg,12:07,2ND,11,FALSE,FALSE,FALSE,12:07,2ND,11,0,,45:30.8,12:07,2ND,11
783,data/frames/game_6/frame_000783.jpg,12:07,2ND,11,FALSE,FALSE,FALSE,12:07,2ND,11,0,,45:30.8,12:07,2ND,11
784,data/frames/game_6/frame_000784.jpg,12:07,2ND,10,FALSE,FALSE,FALSE,12:07,2ND,10,0,,45:30.8,12:07,2ND,10
785,data/frames/game_6/frame_000785.jpg,12:07,2ND,10,FALSE,FALSE,FALSE,12:07,2ND,10,0,,45:30.8,12:07,2ND,10
786,data/frames/game_6/frame_000786.jpg,12:07,2ND,9,FALSE,FALSE,FALSE,12:07,2ND,9,0,,45:30.8,12:07,2ND,9
787,data/frames/game_6/frame_000787.jpg,12:07,2ND,9,FALSE,FALSE,FALSE,12:07,2ND,9,0,,45:30.8,12:07,2ND,9
788,data/frames/game_6/frame_000788.jpg,12:07,2ND,8,FALSE,FALSE,FALSE,12:07,2ND,8,0,,45:30.8,12:07,2ND,8
789,data/frames/game_6/frame_000789.jpg,12:07,2ND,8,FALSE,FALSE,FALSE,12:07,2ND,8,0,,45:30.8,12:07,2ND,8
790,data/frames/game_6/frame_000790.jpg,12:07,2ND,7,FALSE,FALSE,FALSE,12:07,2ND,7,0,,45:30.8,12:07,2ND,7
791,data/frames/game_6/frame_000791.jpg,12:07,2ND,7,FALSE,FALSE,FALSE,12:07,2ND,7,0,,45:30.8,12:07,2ND,7
792,data/frames/game_6/frame_000792.jpg,12:07,2ND,40,FALSE,FALSE,FALSE,12:07,2ND,40,0,,45:30.8,12:07,2ND,40
793,data/frames/game_6/frame_000793.jpg,12:07,2ND,40,FALSE,FALSE,FALSE,12:07,2ND,40,0,,45:30.8,12:07,2ND,40
794,data/frames/game_6/frame_000794.jpg,12:06,2ND,40,FALSE,FALSE,FALSE,12:06,2ND,40,0,,45:30.8,12:06,2ND,40
795,data/frames/game_6/frame_000795.jpg,12:06,2ND,40,FALSE,FALSE,FALSE,12:06,2ND,40,0,,45:30.8,12:06,2ND,40
796,data/frames/game_6/frame_000796.jpg,12:05,2ND,40,FALSE,FALSE,FALSE,12:05,2ND,40,0,,45:30.8,12:05,2ND,40
797,data/frames/game_6/frame_000797.jpg,12:05,2ND,40,FALSE,FALSE,FALSE,12:05,2ND,40,0,,45:30.8,12:05,2ND,40
798,data/frames/game_6/frame_000798.jpg,12:04,2ND,40,FALSE,FALSE,FALSE,12:04,2ND,40,0,,45:30.8,12:04,2ND,40
799,data/frames/game_6/frame_000799.jpg,12:04,2ND,40,FALSE,FALSE,FALSE,12:04,2ND,40,0,,45:30.8,12:04,2ND,40
800,data/frames/game_6/frame_000800.jpg,12:03,2ND,40,FALSE,FALSE,FALSE,12:03,2ND,40,0,,45:30.8,12:03,2ND,40
801,data/frames/game_6/frame_000801.jpg,12:03,2ND,40,FALSE,FALSE,FALSE,12:03,2ND,40,0,,45:30.8,12:03,2ND,40
802,data/frames/game_6/frame_000802.jpg,12:02,2ND,40,FALSE,FALSE,FALSE,12:02,2ND,40,0,,45:30.8,12:02,2ND,40
803,data/frames/game_6/frame_000803.jpg,12:02,2ND,40,FALSE,FALSE,FALSE,12:02,2ND,40,0,,45:30.8,12:02,2ND,40
804,data/frames/game_6/frame_000804.jpg,12:01,2ND,40,FALSE,FALSE,FALSE,12:01,2ND,40,0,,45:30.8,12:01,2ND,40
805,data/frames/game_6/frame_000805.jpg,12:01,2ND,40,FALSE,FALSE,FALSE,12:01,2ND,40,0,,45:30.8,12:01,2ND,40
806,data/frames/game_6/frame_000806.jpg,12:00,2ND,40,FALSE,FALSE,FALSE,12:00,2ND,40,0,,45:30.8,12:00,2ND,40
807,data/frames/game_6/frame_000807.jpg,12:00,2ND,40,FALSE,FALSE,FALSE,12:00,2ND,40,0,,45:30.8,12:00,2ND,40
808,data/frames/game_6/frame_000808.jpg,11:59,2ND,40,FALSE,FALSE,FALSE,11:59,2ND,40,0,,45:30.8,11:59,2ND,40
809,data/frames/game_6/frame_000809.jpg,11:59,2ND,40,FALSE,FALSE,FALSE,11:59,2ND,40,0,,45:30.8,11:59,2ND,40
810,data/frames/game_6/frame_000810.jpg,11:58,2ND,39,FALSE,FALSE,FALSE,11:58,2ND,39,0,,45:30.8,11:58,2ND,39
811,data/frames/game_6/frame_000811.jpg,11:58,2ND,39,TRUE,FALSE,FALSE,1:58,2ND,39,0.9,anomaly_correction,45:30.8,11:58,2ND,39
812,data/frames/game_6/frame_000812.jpg,11:57,2ND,38,FALSE,FALSE,FALSE,11:57,2ND,38,0,,45:30.8,11:57,2ND,38
813,data/frames/game_6/frame_000813.jpg,11:57,2ND,38,FALSE,FALSE,FALSE,11:57,2ND,38,0,,45:30.8,11:57,2ND,38
814,data/frames/game_6/frame_000814.jpg,11:56,2ND,37,FALSE,FALSE,FALSE,11:56,2ND,37,0,,45:30.8,11:56,2ND,37
815,data/frames/game_6/frame_000815.jpg,11:56,2ND,37,FALSE,FALSE,FALSE,11:56,2ND,37,0,,45:30.8,11:56,2ND,37
816,data/frames/game_6/frame_000816.jpg,11:55,2ND,36,FALSE,FALSE,FALSE,11:55,2ND,36,0,,45:30.8,11:55,2ND,36
817,data/frames/game_6/frame_000817.jpg,11:55,2ND,36,FALSE,FALSE,FALSE,11:55,2ND,36,0,,45:30.8,11:55,2ND,36
818,data/frames/game_6/frame_000818.jpg,11:54,2ND,36,FALSE,FALSE,FALSE,11:54,2ND,36,0,,45:30.8,11:54,2ND,36
819,data/frames/game_6/frame_000819.jpg,11:54,2ND,35,FALSE,FALSE,FALSE,11:54,2ND,35,0,,45:30.8,11:54,2ND,35
820,data/frames/game_6/frame_000820.jpg,11:53,2ND,34,FALSE,FALSE,FALSE,11:53,2ND,34,0,,45:30.8,11:53,2ND,34
821,data/frames/game_6/frame_000821.jpg,11:53,2ND,34,FALSE,FALSE,FALSE,11:53,2ND,34,0,,45:30.8,11:53,2ND,34
822,data/frames/game_6/frame_000822.jpg,11:52,2ND,33,FALSE,FALSE,FALSE,11:52,2ND,33,0,,45:30.8,11:52,2ND,33
823,data/frames/game_6/frame_000823.jpg,11:52,2ND,33,FALSE,FALSE,FALSE,11:52,2ND,33,0,,45:30.8,11:52,2ND,33
824,data/frames/game_6/frame_000824.jpg,11:51,2ND,32,FALSE,FALSE,FALSE,11:51,2ND,32,0,,45:30.8,11:51,2ND,32
825,data/frames/game_6/frame_000825.jpg,11:51,2ND,32,FALSE,FALSE,FALSE,11:51,2ND,32,0,,45:30.8,11:51,2ND,32
826,data/frames/game_6/frame_000826.jpg,11:50,2ND,31,FALSE,FALSE,FALSE,11:50,2ND,31,0,,45:30.8,11:50,2ND,31
827,data/frames/game_6/frame_000827.jpg,11:50,2ND,31,FALSE,FALSE,FALSE,11:50,2ND,31,0,,45:30.8,11:50,2ND,31
828,data/frames/game_6/frame_000828.jpg,11:49,2ND,30,FALSE,FALSE,FALSE,11:49,2ND,30,0,,45:30.8,11:49,2ND,30
829,data/frames/game_6/frame_000829.jpg,11:49,2ND,30,FALSE,FALSE,FALSE,11:49,2ND,30,0,,45:30.8,11:49,2ND,30
830,data/frames/game_6/frame_000830.jpg,11:48,2ND,29,FALSE,FALSE,FALSE,11:48,2ND,29,0,,45:30.8,11:48,2ND,29
831,data/frames/game_6/frame_000831.jpg,11:48,2ND,29,FALSE,FALSE,FALSE,11:48,2ND,29,0,,45:30.8,11:48,2ND,29
832,data/frames/game_6/frame_000832.jpg,11:47,2ND,28,FALSE,FALSE,FALSE,11:47,2ND,28,0,,45:30.8,11:47,2ND,28
833,data/frames/game_6/frame_000833.jpg,11:47,2ND,28,FALSE,FALSE,FALSE,11:47,2ND,28,0,,45:30.8,11:47,2ND,28
834,data/frames/game_6/frame_000834.jpg,11:46,2ND,27,FALSE,FALSE,FALSE,11:46,2ND,27,0,,45:30.8,11:46,2ND,27
835,data/frames/game_6/frame_000835.jpg,11:46,2ND,27,FALSE,FALSE,FALSE,11:46,2ND,27,0,,45:30.8,11:46,2ND,27
836,data/frames/game_6/frame_000836.jpg,11:45,2ND,26,FALSE,FALSE,FALSE,11:45,2ND,26,0,,45:30.8,11:45,2ND,26
837,data/frames/game_6/frame_000837.jpg,11:45,2ND,26,FALSE,FALSE,FALSE,11:45,2ND,26,0,,45:30.8,11:45,2ND,26
838,data/frames/game_6/frame_000838.jpg,11:44,2ND,25,FALSE,FALSE,FALSE,11:44,2ND,25,0,,45:30.8,11:44,2ND,25
839,data/frames/game_6/frame_000839.jpg,11:44,2ND,25,FALSE,FALSE,FALSE,11:44,2ND,25,0,,45:30.8,11:44,2ND,25
840,data/frames/game_6/frame_000840.jpg,11:43,2ND,24,FALSE,FALSE,FALSE,11:43,2ND,24,0,,45:30.8,11:43,2ND,24
841,data/frames/game_6/frame_000841.jpg,11:43,2ND,24,FALSE,FALSE,FALSE,11:43,2ND,24,0,,45:30.8,11:43,2ND,24
842,data/frames/game_6/frame_000842.jpg,11:42,2ND,23,FALSE,FALSE,FALSE,11:42,2ND,23,0,,45:30.8,11:42,2ND,23
843,data/frames/game_6/frame_000843.jpg,11:42,2ND,23,FALSE,FALSE,FALSE,11:42,2ND,23,0,,45:30.8,11:42,2ND,23
844,data/frames/game_6/frame_000844.jpg,11:41,2ND,22,FALSE,FALSE,FALSE,11:41,2ND,22,0,,45:30.8,11:41,2ND,22
845,data/frames/game_6/frame_000845.jpg,11:41,2ND,22,FALSE,FALSE,FALSE,11:41,2ND,22,0,,45:30.8,11:41,2ND,22
846,data/frames/game_6/frame_000846.jpg,11:40,2ND,21,FALSE,FALSE,FALSE,11:40,2ND,21,0,,45:30.8,11:40,2ND,21
847,data/frames/game_6/frame_000847.jpg,11:40,2ND,21,FALSE,FALSE,FALSE,11:40,2ND,21,0,,45:30.8,11:40,2ND,21
848,data/frames/game_6/frame_000848.jpg,11:39,2ND,20,FALSE,FALSE,FALSE,11:39,2ND,20,0,,45:30.8,11:39,2ND,20
849,data/frames/game_6/frame_000849.jpg,11:39,2ND,20,FALSE,FALSE,FALSE,11:39,2ND,20,0,,45:30.8,11:39,2ND,20
850,data/frames/game_6/frame_000850.jpg,11:38,2ND,19,TRUE,FALSE,FALSE,1:38,2ND,19,0.9,anomaly_correction,45:30.8,11:38,2ND,19
851,data/frames/game_6/frame_000851.jpg,11:38,2ND,19,FALSE,FALSE,FALSE,11:38,2ND,19,0,,45:30.8,11:38,2ND,19
852,data/frames/game_6/frame_000852.jpg,11:37,2ND,18,FALSE,FALSE,FALSE,11:37,2ND,18,0,,45:30.8,11:37,2ND,18
853,data/frames/game_6/frame_000853.jpg,11:37,2ND,18,FALSE,FALSE,FALSE,11:37,2ND,18,0,,45:30.8,11:37,2ND,18
854,data/frames/game_6/frame_000854.jpg,11:36,2ND,17,FALSE,FALSE,FALSE,11:36,2ND,17,0,,45:30.8,11:36,2ND,17
855,data/frames/game_6/frame_000855.jpg,11:36,2ND,17,FALSE,FALSE,FALSE,11:36,2ND,17,0,,45:30.8,11:36,2ND,17
856,data/frames/game_6/frame_000856.jpg,11:35,2ND,16,FALSE,FALSE,FALSE,11:35,2ND,16,0,,45:30.8,11:35,2ND,16
857,data/frames/game_6/frame_000857.jpg,11:35,2ND,16,FALSE,FALSE,FALSE,11:35,2ND,16,0,,45:30.8,11:35,2ND,16
858,data/frames/game_6/frame_000858.jpg,11:34,2ND,15,FALSE,FALSE,FALSE,11:34,2ND,15,0,,45:30.8,11:34,2ND,15
859,data/frames/game_6/frame_000859.jpg,11:34,2ND,15,FALSE,FALSE,FALSE,11:34,2ND,15,0,,45:30.8,11:34,2ND,15
860,data/frames/game_6/frame_000860.jpg,11:33,2ND,14,FALSE,FALSE,FALSE,11:33,2ND,14,0,,45:30.8,11:33,2ND,14
861,data/frames/game_6/frame_000861.jpg,11:33,2ND,14,FALSE,FALSE,FALSE,11:33,2ND,14,0,,45:30.8,11:33,2ND,14
862,data/frames/game_6/frame_000862.jpg,11:32,2ND,13,FALSE,FALSE,FALSE,11:32,2ND,13,0,,45:30.8,11:32,2ND,13
863,data/frames/game_6/frame_000863.jpg,11:32,2ND,13,FALSE,FALSE,FALSE,11:32,2ND,13,0,,45:30.8,11:32,2ND,13
864,data/frames/game_6/frame_000864.jpg,11:31,2ND,12,FALSE,FALSE,FALSE,11:31,2ND,12,0,,45:30.8,11:31,2ND,12
865,data/frames/game_6/frame_000865.jpg,11:31,2ND,12,FALSE,FALSE,FALSE,11:31,2ND,12,0,,45:30.8,11:31,2ND,12
866,data/frames/game_6/frame_000866.jpg,11:30,2ND,11,FALSE,FALSE,FALSE,11:30,2ND,11,0,,45:30.8,11:30,2ND,11
867,data/frames/game_6/frame_000867.jpg,11:30,2ND,11,FALSE,FALSE,FALSE,11:30,2ND,11,0,,45:30.8,11:30,2ND,11
868,data/frames/game_6/frame_000868.jpg,11:29,2ND,10,FALSE,FALSE,FALSE,11:29,2ND,10,0,,45:30.8,11:29,2ND,10
869,data/frames/game_6/frame_000869.jpg,11:29,2ND,10,FALSE,FALSE,FALSE,11:29,2ND,10,0,,45:30.8,11:29,2ND,10
870,data/frames/game_6/frame_000870.jpg,11:28,2ND,9,FALSE,FALSE,FALSE,11:28,2ND,9,0,,45:30.8,11:28,2ND,9
871,data/frames/game_6/frame_000871.jpg,11:28,2ND,9,FALSE,FALSE,FALSE,11:28,2ND,9,0,,45:30.8,11:28,2ND,9
872,data/frames/game_6/frame_000872.jpg,11:27,2ND,8,FALSE,FALSE,FALSE,11:27,2ND,8,0,,45:30.8,11:27,2ND,8
873,data/frames/game_6/frame_000873.jpg,11:27,2ND,8,FALSE,FALSE,FALSE,11:27,2ND,8,0,,45:30.8,11:27,2ND,8
874,data/frames/game_6/frame_000874.jpg,11:26,2ND,7,FALSE,FALSE,FALSE,11:26,2ND,7,0,,45:30.8,11:26,2ND,7
875,data/frames/game_6/frame_000875.jpg,11:26,2ND,7,FALSE,FALSE,FALSE,11:26,2ND,7,0,,45:30.8,11:26,2ND,7
876,data/frames/game_6/frame_000876.jpg,11:25,2ND,6,FALSE,FALSE,FALSE,11:25,2ND,6,0,,45:30.8,11:25,2ND,6
877,data/frames/game_6/frame_000877.jpg,11:25,2ND,6,FALSE,FALSE,FALSE,11:25,2ND,6,0,,45:30.8,11:25,2ND,6
